x;y;OBJECTID;Nombre_Ban;Este;Norte
280669.9265;2162292.114;211;Jesús Anibal;280669.9265;2162292.114
280658.8361;2162200.566;212;Jesús Anibal;280658.8361;2162200.566
281438.9051;2162399.559;213;Los Cibaos;281438.9051;2162399.558
281625.7055;2162334.947;214;Jesús Anibal;281625.7055;2162334.947
281361.6085;2161654.747;215;Jesús Anibal;281361.6085;2161654.746
281825.8967;2162171.405;216;Chavez;281825.8967;2162171.405
281578.9217;2162130.558;217;Los Cibaos;281578.9217;2162130.558
281621.2215;2162199.249;218;Jesús Anibal;281621.2215;2162199.249
281581.5192;2162231.953;219;Los Cibaos;281581.5192;2162231.953
281427.0841;2162316.656;220;Banca;281427.0841;2162316.656
281392.1862;2162347.31;221;Jesús Anibal;281392.1862;2162347.31
281307.394;2162211.482;222;Juan Rodríguez;281307.394;2162211.482
281347.3827;2162193.722;223;Chavez;281347.3827;2162193.722
281513.5422;2161994.051;224;Chavez;281513.5422;2161994.051
281513.3323;2161994.053;225;Tejada;281513.3323;2161994.053
281825.0327;2162782.965;226;Minier;281825.0327;2162782.965
281503.6047;2161798.405;227;Chavez;281503.6047;2161798.405
281538.519;2161838.064;228;King;281538.519;2161838.064
281719.1983;2162279.997;229;Banca;281719.1983;2162279.997
281819.8879;2162419.951;230;Jesús Anibal;281819.8879;2162419.951
281789.0002;2162340.049;231;Beco;281789.0002;2162340.049
281808.8633;2162437.026;232;D'Tony Banca;281808.8633;2162437.026
281824.8385;2162602.813;233;D'Tony Banca;281824.8385;2162602.813
281857.5855;2162671.62;234;Chavez;281857.5855;2162671.62
282007.4319;2162944.073;235;D'Tony Banca;282007.4319;2162944.073
282033.3978;2163621.632;236;Loteka;282033.3978;2163621.632
282106.6201;2163635.36;237;Loteka;282106.6201;2163635.359
282150.663;2163605.925;238;King;282150.663;2163605.925
282080.7238;2163395.727;239;Carlito Sport;282080.7238;2163395.727
282059.7693;2163347.04;240;R y C;282059.7693;2163347.04
282014.3013;2163224.573;241;Chavez;282014.3013;2163224.573
281892.5017;2163264.697;242;Continental;281892.5017;2163264.697
281867.6902;2163209.634;243;Chavez;281867.6902;2163209.634
281937.7553;2163369.449;244;D'Tony Banca;281937.7553;2163369.449
281978.9031;2163490.528;245;D'Tony Banca;281978.9031;2163490.528
281974.5061;2163474.194;246;JL;281974.5061;2163474.194
281701.4564;2164023.844;247;Real;281701.4564;2164023.844
281935.3722;2163397.935;248;D'Tony Banca;281935.3722;2163397.935
281828.878;2163298.134;249;JL;281828.878;2163298.134
281808.6183;2163220.317;250;Joel Sport;281808.6183;2163220.317
281671.3853;2160763.83;251;Joel Sport;281671.3853;2160763.83
281847.1418;2163557.237;252;Jesús Anibal;281847.1418;2163557.237
282010.9031;2163826.42;253;Beco;282010.9031;2163826.42
281862.743;2163579.968;254;Chavez;281862.743;2163579.968
281747.712;2163477.282;255;D'Tony Banca;281747.712;2163477.282
281732.9838;2163448.672;256;King;281732.9838;2163448.672
281721.6287;2163403.965;257;Los Cibaos;281721.6287;2163403.965
281692.1181;2163325.043;258;Chavez;281692.1181;2163325.043
281861.305;2163401.16;259;Leidsa;281861.305;2163401.16
281854.5102;2163377.547;260;Real;281854.5102;2163377.547
281646.937;2163226.38;261;R y C;281646.937;2163226.38
281843.2939;2163344.243;262;Chavez;281843.2939;2163344.243
281945.5159;2162832.99;263;King;281945.5159;2162832.99
281825.2426;2162782.962;264;Minier;281825.2426;2162782.962
282667.8246;2163423.821;265;Beco;282667.8246;2163423.821
282079.177;2163026.137;266;Jesús Anibal;282079.177;2163026.137
281719.1983;2162279.997;267;Jesús Anibal;281719.1983;2162279.997
281585.0223;2162528.661;268;Jesús Anibal;281585.0223;2162528.661
281622.006;2162781.779;269;Jesús Anibal;281622.006;2162781.778
281685.5467;2162810.46;270;Jesús Anibal;281685.5467;2162810.46
281338.0867;2162887.325;271;Chavez;281338.0867;2162887.325
281258.8948;2162892.275;272;Los Cibaos;281258.8948;2162892.275
281491.8627;2162628.121;273;King;281491.8627;2162628.121
281474.5839;2162519.375;274;Los Cibaos;281474.5839;2162519.375
281461.937;2162981.043;275;Moise;281461.937;2162981.043
281526.6667;2163098.845;276;Chavez;281526.6667;2163098.845
281602.7091;2163232.011;277;OM;281602.7091;2163232.011
281540.1075;2163297.66;278;Los Cibaos;281540.1075;2163297.66
281713.3961;2162856.295;279;Chavez;281713.3961;2162856.294
281512.5231;2163239.088;280;Jesús Anibal;281512.5231;2163239.088
281490.6878;2163247.548;281;Fey;281490.6878;2163247.548
